id:0,x:0.5223190784454346,y:0.3743695318698883
id:1,x:0.5192888975143433,y:0.3602893054485321
id:2,x:0.5211091041564941,y:0.36487722396850586
id:3,x:0.5130360722541809,y:0.3433471918106079
id:4,x:0.5188758969306946,y:0.35514211654663086
id:5,x:0.5190743207931519,y:0.3482694625854492
id:6,x:0.5203423500061035,y:0.3312864601612091
id:7,x:0.4644070863723755,y:0.32977771759033203
id:8,x:0.520321249961853,y:0.3169746696949005
id:9,x:0.5199381709098816,y:0.31000378727912903
id:10,x:0.5194506049156189,y:0.28632625937461853
id:11,x:0.5224911570549011,y:0.3764054477214813
id:12,x:0.5228381156921387,y:0.3784884810447693
id:13,x:0.5232912302017212,y:0.3798333704471588
id:14,x:0.5236639976501465,y:0.386284202337265
id:15,x:0.5236883759498596,y:0.3891241252422333
id:16,x:0.5238145589828491,y:0.39259591698646545
id:17,x:0.5241554379463196,y:0.39600417017936707
id:18,x:0.5246871709823608,y:0.39976614713668823
id:19,x:0.5199089646339417,y:0.36276569962501526
id:20,x:0.5134844779968262,y:0.3625892102718353
id:21,x:0.4417361319065094,y:0.30999407172203064
id:22,x:0.48783257603645325,y:0.33420926332473755
id:23,x:0.4796912670135498,y:0.33463406562805176
id:24,x:0.47197243571281433,y:0.33449292182922363
id:25,x:0.4619700610637665,y:0.3315594792366028
id:26,x:0.4946868121623993,y:0.33321791887283325
id:27,x:0.4740970730781555,y:0.3187296986579895
id:28,x:0.4841468632221222,y:0.31952962279319763
id:29,x:0.4651552140712738,y:0.3197050094604492
id:30,x:0.45986613631248474,y:0.32200655341148376
id:31,x:0.4567314386367798,y:0.33483701944351196
id:32,x:0.49747470021247864,y:0.4035959243774414
id:33,x:0.4618454873561859,y:0.3282146155834198
id:34,x:0.43910008668899536,y:0.3315774202346802
id:35,x:0.4494094252586365,y:0.330971896648407
id:36,x:0.48355063796043396,y:0.3554254174232483
id:37,x:0.5133456587791443,y:0.3735451102256775
id:38,x:0.514931857585907,y:0.37854239344596863
id:39,x:0.5052230358123779,y:0.375868558883667
id:40,x:0.500167727470398,y:0.37813475728034973
id:41,x:0.5086292028427124,y:0.379224956035614
id:42,x:0.5040048360824585,y:0.38021138310432434
id:43,x:0.49000081419944763,y:0.3876079320907593
id:44,x:0.512955367565155,y:0.3601902425289154
id:45,x:0.5114637613296509,y:0.3552858233451843
id:46,x:0.4497949182987213,y:0.3174661099910736
id:47,x:0.49902939796447754,y:0.34248051047325134
id:48,x:0.497488796710968,y:0.35862696170806885
id:49,x:0.4969985783100128,y:0.3558630645275116
id:50,x:0.46113234758377075,y:0.3547690212726593
id:51,x:0.5120486617088318,y:0.3488796353340149
id:52,x:0.4653427302837372,y:0.3121718764305115
id:53,x:0.4554251730442047,y:0.3137012720108032
id:54,x:0.44723838567733765,y:0.30122989416122437
id:55,x:0.501242995262146,y:0.31646767258644104
id:56,x:0.4928181767463684,y:0.3221507668495178
id:57,x:0.48463329672813416,y:0.38195255398750305
id:58,x:0.4556094706058502,y:0.3770042955875397
id:59,x:0.5035466551780701,y:0.36142152547836304
id:60,x:0.5094393491744995,y:0.3628939092159271
id:61,x:0.49497586488723755,y:0.3820217251777649
id:62,x:0.4970810115337372,y:0.3821159899234772
id:63,x:0.45206141471862793,y:0.31061962246894836
id:64,x:0.4978055953979492,y:0.36074405908584595
id:65,x:0.47988417744636536,y:0.31260520219802856
id:66,x:0.47809940576553345,y:0.30865880846977234
id:67,x:0.47465813159942627,y:0.28958165645599365
id:68,x:0.45053631067276,y:0.3057257831096649
id:69,x:0.4783254861831665,y:0.29872462153434753
id:70,x:0.4464711546897888,y:0.31525546312332153
id:71,x:0.44453221559524536,y:0.31279778480529785
id:72,x:0.513861894607544,y:0.37626662850379944
id:73,x:0.5068107843399048,y:0.37767574191093445
id:74,x:0.5019320845603943,y:0.3792229890823364
id:75,x:0.5054348111152649,y:0.362297922372818
id:76,x:0.4960435628890991,y:0.3820732533931732
id:77,x:0.49896231293678284,y:0.38446515798568726
id:78,x:0.4981176555156708,y:0.3821712136268616
id:79,x:0.5059785842895508,y:0.3599487245082855
id:80,x:0.5058655738830566,y:0.38081225752830505
id:81,x:0.5103138089179993,y:0.38015279173851013
id:82,x:0.5161519050598145,y:0.37980926036834717
id:83,x:0.5135337710380554,y:0.39930295944213867
id:84,x:0.5143507122993469,y:0.39525550603866577
id:85,x:0.514523446559906,y:0.3919038474559784
id:86,x:0.5152785181999207,y:0.38848111033439636
id:87,x:0.5162916779518127,y:0.3859550952911377
id:88,x:0.5059369802474976,y:0.3843318819999695
id:89,x:0.5042445659637451,y:0.3853487968444824
id:90,x:0.5022755265235901,y:0.38693735003471375
id:91,x:0.500838041305542,y:0.3887195289134979
id:92,x:0.4913823902606964,y:0.37348079681396484
id:93,x:0.44456833600997925,y:0.3524191975593567
id:94,x:0.5204644799232483,y:0.36377841234207153
id:95,x:0.5026540160179138,y:0.38341742753982544
id:96,x:0.5007613301277161,y:0.38384655117988586
id:97,x:0.5116187334060669,y:0.36476707458496094
id:98,x:0.5007839798927307,y:0.36354267597198486
id:99,x:0.5105763673782349,y:0.3638623058795929
id:100,x:0.4909539222717285,y:0.34540411829948425
id:101,x:0.4781303107738495,y:0.3488832116127014
id:102,x:0.4962272346019745,y:0.35803529620170593
id:103,x:0.4573666453361511,y:0.29425278306007385
id:104,x:0.46100667119026184,y:0.30076614022254944
id:105,x:0.46265745162963867,y:0.3083706498146057
id:106,x:0.4956505596637726,y:0.3921270966529846
id:107,x:0.49767857789993286,y:0.30990076065063477
id:108,x:0.4973303973674774,y:0.2984175980091095
id:109,x:0.49470627307891846,y:0.28722909092903137
id:110,x:0.4655216336250305,y:0.3335014879703522
id:111,x:0.4493647515773773,y:0.3384726941585541
id:112,x:0.49916353821754456,y:0.33210334181785583
id:113,x:0.4539051651954651,y:0.32440871000289917
id:114,x:0.5041255950927734,y:0.33919402956962585
id:115,x:0.5009827613830566,y:0.356830358505249
id:116,x:0.4434458017349243,y:0.34157875180244446
id:117,x:0.4535415768623352,y:0.3421010673046112
id:118,x:0.46297210454940796,y:0.34401485323905945
id:119,x:0.4783223271369934,y:0.3431227505207062
id:120,x:0.4897049367427826,y:0.3410414159297943
id:121,x:0.4979839026927948,y:0.33881279826164246
id:122,x:0.5131679177284241,y:0.33256828784942627
id:123,x:0.4453948140144348,y:0.3521617352962494
id:124,x:0.449073851108551,y:0.323667973279953
id:125,x:0.5160735249519348,y:0.3626173734664917
id:126,x:0.4996519088745117,y:0.34765246510505676
id:127,x:0.4395957589149475,y:0.33065158128738403
id:128,x:0.5039253830909729,y:0.3361855745315552
id:129,x:0.4959821105003357,y:0.35817649960517883
id:130,x:0.45860555768013,y:0.3283805549144745
id:131,x:0.5008893609046936,y:0.3534504771232605
id:132,x:0.44880762696266174,y:0.3643171489238739
id:133,x:0.49953752756118774,y:0.33024606108665466
id:134,x:0.5060798525810242,y:0.35060375928878784
id:135,x:0.46942824125289917,y:0.39035847783088684
id:136,x:0.47180894017219543,y:0.3951064348220825
id:137,x:0.44136178493499756,y:0.35251760482788086
id:138,x:0.4603717029094696,y:0.3833802044391632
id:139,x:0.4414682686328888,y:0.32155320048332214
id:140,x:0.4971315264701843,y:0.40767404437065125
id:141,x:0.5174217820167542,y:0.3636327385902405
id:142,x:0.4929526746273041,y:0.3513295650482178
id:143,x:0.44483256340026855,y:0.33194515109062195
id:144,x:0.4718865752220154,y:0.3315466344356537
id:145,x:0.4789111316204071,y:0.3318198025226593
id:146,x:0.4974417984485626,y:0.38521113991737366
id:147,x:0.4489232897758484,y:0.36205267906188965
id:148,x:0.5111451148986816,y:0.41428327560424805
id:149,x:0.4903915226459503,y:0.4066099524497986
id:150,x:0.48198559880256653,y:0.4018194079399109
id:151,x:0.5195688009262085,y:0.29826900362968445
id:152,x:0.527129590511322,y:0.4154493510723114
id:153,x:0.48597678542137146,y:0.3315153121948242
id:154,x:0.4926665723323822,y:0.3309474289417267
id:155,x:0.49721476435661316,y:0.33066681027412415
id:156,x:0.4454040825366974,y:0.3227103650569916
id:157,x:0.49203696846961975,y:0.32607415318489075
id:158,x:0.4846426248550415,y:0.3241831660270691
id:159,x:0.4768867790699005,y:0.32375019788742065
id:160,x:0.46961209177970886,y:0.32460471987724304
id:161,x:0.4654475450515747,y:0.32605335116386414
id:162,x:0.4392729103565216,y:0.3193591833114624
id:163,x:0.46730443835258484,y:0.3307735025882721
id:164,x:0.5216532349586487,y:0.3688396215438843
id:165,x:0.49799075722694397,y:0.3707760274410248
id:166,x:0.5032148361206055,y:0.3606513440608978
id:167,x:0.5111420154571533,y:0.3692065179347992
id:168,x:0.5206543207168579,y:0.32413214445114136
id:169,x:0.47888731956481934,y:0.39697158336639404
id:170,x:0.487754762172699,y:0.40218493342399597
id:171,x:0.509820818901062,y:0.41184231638908386
id:172,x:0.46366026997566223,y:0.3874506652355194
id:173,x:0.4971579313278198,y:0.32862818241119385
id:174,x:0.5082517862319946,y:0.3408547341823578
id:175,x:0.5262134075164795,y:0.4129490554332733
id:176,x:0.49956586956977844,y:0.4110415279865265
id:177,x:0.44571003317832947,y:0.3634265661239624
id:178,x:0.5104379057884216,y:0.38524243235588074
id:179,x:0.5088266134262085,y:0.387046754360199
id:180,x:0.5073381662368774,y:0.38962000608444214
id:181,x:0.5064843893051147,y:0.39260727167129517
id:182,x:0.5031405687332153,y:0.3963202238082886
id:183,x:0.5003934502601624,y:0.38119637966156006
id:184,x:0.4984480142593384,y:0.3807082176208496
id:185,x:0.4968807101249695,y:0.3801164925098419
id:186,x:0.4867721498012543,y:0.3772825598716736
id:187,x:0.45806971192359924,y:0.3652731776237488
id:188,x:0.508733868598938,y:0.33551889657974243
id:189,x:0.5042869448661804,y:0.32600128650665283
id:190,x:0.4999774992465973,y:0.32673296332359314
id:191,x:0.5022568106651306,y:0.38153335452079773
id:192,x:0.46077293157577515,y:0.37691301107406616
id:193,x:0.5106216073036194,y:0.32546138763427734
id:194,x:0.500152051448822,y:0.39959946274757385
id:195,x:0.5195402503013611,y:0.3425321578979492
id:196,x:0.5129993557929993,y:0.33829015493392944
id:197,x:0.5199370980262756,y:0.3371846377849579
id:198,x:0.5033292770385742,y:0.3488873243331909
id:199,x:0.5255452394485474,y:0.40887707471847534
id:200,x:0.5251015424728394,y:0.4039123058319092
id:201,x:0.5118057727813721,y:0.4031975269317627
id:202,x:0.4840850532054901,y:0.38895630836486816
id:203,x:0.4898582100868225,y:0.3621881306171417
id:204,x:0.49129948019981384,y:0.39483046531677246
id:205,x:0.4724339544773102,y:0.36146020889282227
id:206,x:0.4834650456905365,y:0.3672099709510803
id:207,x:0.4682789444923401,y:0.3692883849143982
id:208,x:0.5099896788597107,y:0.4079163670539856
id:209,x:0.4996083974838257,y:0.35171690583229065
id:210,x:0.47923585772514343,y:0.3921915292739868
id:211,x:0.4883001446723938,y:0.3980161249637604
id:212,x:0.4779353737831116,y:0.38231539726257324
id:213,x:0.45315638184547424,y:0.37043634057044983
id:214,x:0.46984392404556274,y:0.3828006088733673
id:215,x:0.45169728994369507,y:0.3737119436264038
id:216,x:0.47917166352272034,y:0.3734523057937622
id:217,x:0.5041506290435791,y:0.34416663646698
id:218,x:0.5034728646278381,y:0.35911819338798523
id:219,x:0.4999254643917084,y:0.36028096079826355
id:220,x:0.5056509375572205,y:0.35583290457725525
id:221,x:0.49668851494789124,y:0.3207150995731354
id:222,x:0.4823738932609558,y:0.31705841422080994
id:223,x:0.4700797200202942,y:0.31639721989631653
id:224,x:0.4607686698436737,y:0.3175106942653656
id:225,x:0.4551808536052704,y:0.32014644145965576
id:226,x:0.45472994446754456,y:0.3295647203922272
id:227,x:0.4390002191066742,y:0.3419804275035858
id:228,x:0.46035605669021606,y:0.3370300531387329
id:229,x:0.4683687090873718,y:0.33857399225234985
id:230,x:0.4789983928203583,y:0.33848685026168823
id:231,x:0.4891222417354584,y:0.33734992146492004
id:232,x:0.49689868092536926,y:0.33585530519485474
id:233,x:0.5021737813949585,y:0.33429214358329773
id:234,x:0.44188839197158813,y:0.34139007329940796
id:235,x:0.5005067586898804,y:0.3615396022796631
id:236,x:0.507685124874115,y:0.3456127941608429
id:237,x:0.5079752206802368,y:0.359473317861557
id:238,x:0.5125879049301147,y:0.3617950677871704
id:239,x:0.5085701942443848,y:0.3602111041545868
id:240,x:0.5028069615364075,y:0.36295467615127563
id:241,x:0.5138068795204163,y:0.36229875683784485
id:242,x:0.5151296854019165,y:0.3633304238319397
id:243,x:0.5021039843559265,y:0.33044981956481934
id:244,x:0.5061428546905518,y:0.33147910237312317
id:245,x:0.5082476735115051,y:0.33224111795425415
id:246,x:0.46333882212638855,y:0.32718464732170105
id:247,x:0.45740005373954773,y:0.32473549246788025
id:248,x:0.5266721248626709,y:0.3431381583213806
id:249,x:0.5812541246414185,y:0.3290317952632904
id:250,x:0.5279461741447449,y:0.36244094371795654
id:251,x:0.6139870285987854,y:0.30682435631752014
id:252,x:0.5591188073158264,y:0.3344024121761322
id:253,x:0.5676688551902771,y:0.3344987630844116
id:254,x:0.575522243976593,y:0.3338698446750641
id:255,x:0.5851171612739563,y:0.33064767718315125
id:256,x:0.5514265298843384,y:0.33340978622436523
id:257,x:0.568378210067749,y:0.3177344501018524
id:258,x:0.5585380792617798,y:0.31858545541763306
id:259,x:0.5775701999664307,y:0.31868961453437805
id:260,x:0.5837450623512268,y:0.32099810242652893
id:261,x:0.5932725667953491,y:0.33345863223075867
id:262,x:0.5566450953483582,y:0.4033209979534149
id:263,x:0.5839272737503052,y:0.32747533917427063
id:264,x:0.6202673316001892,y:0.3289191424846649
id:265,x:0.6021463871002197,y:0.32924333214759827
id:266,x:0.5645656585693359,y:0.354417622089386
id:267,x:0.5320402383804321,y:0.373283326625824
id:268,x:0.5318586230278015,y:0.378256231546402
id:269,x:0.5423332452774048,y:0.37548261880874634
id:270,x:0.5491586923599243,y:0.3774324655532837
id:271,x:0.5397612452507019,y:0.3787333369255066
id:272,x:0.5459536910057068,y:0.3794478178024292
id:273,x:0.563144326210022,y:0.38700586557388306
id:274,x:0.5259978771209717,y:0.3600550591945648
id:275,x:0.5267505645751953,y:0.3550763428211212
id:276,x:0.5939814448356628,y:0.3161727786064148
id:277,x:0.5470852851867676,y:0.3417448401451111
id:278,x:0.5463041067123413,y:0.358097642660141
id:279,x:0.5473589897155762,y:0.3552462160587311
id:280,x:0.5905711054801941,y:0.35319072008132935
id:281,x:0.5266351699829102,y:0.3486535847187042
id:282,x:0.5730694532394409,y:0.31026145815849304
id:283,x:0.5850703716278076,y:0.31217530369758606
id:284,x:0.604165256023407,y:0.2981153130531311
id:285,x:0.5371317267417908,y:0.3153670132160187
id:286,x:0.550416111946106,y:0.3214518129825592
id:287,x:0.5684935450553894,y:0.3812541663646698
id:288,x:0.61362624168396,y:0.375639945268631
id:289,x:0.5401679277420044,y:0.3610938489437103
id:290,x:0.5337803363800049,y:0.3626598119735718
id:291,x:0.5575686097145081,y:0.3804915249347687
id:292,x:0.5554150938987732,y:0.38068661093711853
id:293,x:0.5888916850090027,y:0.3088294565677643
id:294,x:0.547118604183197,y:0.3602478802204132
id:295,x:0.5575652122497559,y:0.31071221828460693
id:296,x:0.5581334233283997,y:0.3065134286880493
id:297,x:0.5683285593986511,y:0.28753629326820374
id:298,x:0.5981633067131042,y:0.3029592037200928
id:299,x:0.5635533332824707,y:0.29698577523231506
id:300,x:0.5986879467964172,y:0.3136608302593231
id:301,x:0.6080657243728638,y:0.30998802185058594
id:302,x:0.5321237444877625,y:0.3759734630584717
id:303,x:0.5410756468772888,y:0.37721794843673706
id:304,x:0.5476388931274414,y:0.37847113609313965
id:305,x:0.5383906364440918,y:0.3620184063911438
id:306,x:0.5564508438110352,y:0.380595326423645
id:307,x:0.5528216361999512,y:0.3832397162914276
id:308,x:0.554386556148529,y:0.3807886242866516
id:309,x:0.5356807112693787,y:0.35963353514671326
id:310,x:0.5445670485496521,y:0.3800460696220398
id:311,x:0.5385952591896057,y:0.3796323537826538
id:312,x:0.5315285921096802,y:0.3795306384563446
id:313,x:0.5368109345436096,y:0.39914751052856445
id:314,x:0.5347239971160889,y:0.39500102400779724
id:315,x:0.5339103937149048,y:0.3916417062282562
id:316,x:0.5329197645187378,y:0.38821542263031006
id:317,x:0.5319423675537109,y:0.3857208788394928
id:318,x:0.5447736978530884,y:0.38356825709342957
id:319,x:0.5464848875999451,y:0.3844911456108093
id:320,x:0.5485304594039917,y:0.38598912954330444
id:321,x:0.5502067804336548,y:0.3877273201942444
id:322,x:0.5576354265213013,y:0.3728586435317993
id:323,x:0.6232946515083313,y:0.3502221405506134
id:324,x:0.5491225719451904,y:0.38242068886756897
id:325,x:0.5509440302848816,y:0.3827252686023712
id:326,x:0.5315816402435303,y:0.364584356546402
id:327,x:0.5448920130729675,y:0.3631618916988373
id:328,x:0.5326063632965088,y:0.3636663258075714
id:329,x:0.5563089847564697,y:0.34446829557418823
id:330,x:0.5705075263977051,y:0.34766092896461487
id:331,x:0.549232006072998,y:0.3574432134628296
id:332,x:0.5898293256759644,y:0.2914700508117676
id:333,x:0.5841459631919861,y:0.2983369827270508
id:334,x:0.5752200484275818,y:0.3061974048614502
id:335,x:0.5567504167556763,y:0.3916517198085785
id:336,x:0.5383352637290955,y:0.3081972002983093
id:337,x:0.5427416563034058,y:0.29750290513038635
id:338,x:0.5455828309059143,y:0.2861053943634033
id:339,x:0.5818157196044922,y:0.3326700031757355
id:340,x:0.6033052802085876,y:0.3365248739719391
id:341,x:0.5461164116859436,y:0.33229708671569824
id:342,x:0.5919885039329529,y:0.3233654797077179
id:343,x:0.5408003926277161,y:0.33859941363334656
id:344,x:0.5408419966697693,y:0.3563638925552368
id:345,x:0.6125515103340149,y:0.33929216861724854
id:346,x:0.598478376865387,y:0.3403121531009674
id:347,x:0.5880765914916992,y:0.34248074889183044
id:348,x:0.5716323852539062,y:0.3424246311187744
id:349,x:0.5590561032295227,y:0.3409422039985657
id:350,x:0.5494910478591919,y:0.33893996477127075
id:351,x:0.5284292697906494,y:0.3323041796684265
id:352,x:0.6113207936286926,y:0.3501705527305603
id:353,x:0.598512589931488,y:0.3222278952598572
id:354,x:0.5239472985267639,y:0.36254629492759705
id:355,x:0.545918345451355,y:0.3469735085964203
id:356,x:0.6240475177764893,y:0.3278180658817291
id:357,x:0.5421367287635803,y:0.336422860622406
id:358,x:0.5506162643432617,y:0.35756421089172363
id:359,x:0.5877393484115601,y:0.32747888565063477
id:360,x:0.5416371822357178,y:0.3529251515865326
id:361,x:0.6202338337898254,y:0.3625200092792511
id:362,x:0.5453410744667053,y:0.3304811716079712
id:363,x:0.5342599749565125,y:0.35021960735321045
id:364,x:0.5921592116355896,y:0.38963422179222107
id:365,x:0.593326985836029,y:0.3944626748561859
id:366,x:0.6208776831626892,y:0.3503689467906952
id:367,x:0.6030570268630981,y:0.3822800815105438
id:368,x:0.6144855618476868,y:0.3187788724899292
id:369,x:0.5583095550537109,y:0.40747806429862976
id:370,x:0.5235742926597595,y:0.3635514974594116
id:371,x:0.5539618134498596,y:0.3505241870880127
id:372,x:0.6098814606666565,y:0.3297692537307739
id:373,x:0.5739205479621887,y:0.33110496401786804
id:374,x:0.5671250224113464,y:0.3317667245864868
id:375,x:0.5545210838317871,y:0.3839018940925598
id:376,x:0.6096722483634949,y:0.3603315055370331
id:377,x:0.5441476106643677,y:0.4141968786716461
id:378,x:0.5693604946136475,y:0.40628543496131897
id:379,x:0.5803941488265991,y:0.40141528844833374
id:380,x:0.5599642395973206,y:0.33168742060661316
id:381,x:0.5527724623680115,y:0.33118289709091187
id:382,x:0.547878086566925,y:0.33095040917396545
id:383,x:0.6045575141906738,y:0.3207489252090454
id:384,x:0.5530076026916504,y:0.3258373737335205
id:385,x:0.5602616667747498,y:0.3237293064594269
id:386,x:0.5676090121269226,y:0.3232060670852661
id:387,x:0.5748558044433594,y:0.32395702600479126
id:388,x:0.5793732404708862,y:0.3253776431083679
id:389,x:0.6202481985092163,y:0.3162645995616913
id:390,x:0.5783238410949707,y:0.33009493350982666
id:391,x:0.5491963624954224,y:0.3702698349952698
id:392,x:0.5398939847946167,y:0.3603045642375946
id:393,x:0.533107340335846,y:0.36902758479118347
id:394,x:0.580901563167572,y:0.3965277671813965
id:395,x:0.5700652003288269,y:0.40191370248794556
id:396,x:0.5437151193618774,y:0.4117598533630371
id:397,x:0.6040735840797424,y:0.38643911480903625
id:398,x:0.5476906299591064,y:0.32870355248451233
id:399,x:0.5340160727500916,y:0.3404446542263031
id:400,x:0.5576185584068298,y:0.41080713272094727
id:401,x:0.6180283427238464,y:0.36164477467536926
id:402,x:0.5389002561569214,y:0.3847303092479706
id:403,x:0.5405603051185608,y:0.3864620327949524
id:404,x:0.542214572429657,y:0.3890033960342407
id:405,x:0.5435049533843994,y:0.39196673035621643
id:406,x:0.5481961965560913,y:0.3959357738494873
