Content Landmark 0: x=0.4604807319641113, y=0.6030981650719276
Content Landmark 13: x=0.4646196594238281, y=0.6433263485248272
Content Landmark 14: x=0.4662464942932129, y=0.6911490073570838
Content Landmark 17: x=0.46826729202270506, y=0.7632183955265925
Content Landmark 37: x=0.4217001094818115, y=0.5969014094426082
Content Landmark 39: x=0.3866559543609619, y=0.6140450991117037
Content Landmark 40: x=0.36483839416503905, y=0.6308186164269081
Content Landmark 58: x=0.17261850738525392, y=0.6221239676842323
Content Landmark 61: x=0.3423902359008789, y=0.6596022679255559
Content Landmark 78: x=0.3560240545272827, y=0.6607057424692008
Content Landmark 80: x=0.38949712181091306, y=0.6506072117732121
Content Landmark 81: x=0.40866328620910647, y=0.645672607421875
Content Landmark 82: x=0.4338349380493164, y=0.6431223355806791
Content Landmark 84: x=0.4258449592590332, y=0.7576206940871019
Content Landmark 87: x=0.4344142951965332, y=0.6886381296011118
Content Landmark 88: x=0.3897842254638672, y=0.676533581660344
Content Landmark 91: x=0.3675389709472656, y=0.7091041271503155
Content Landmark 95: x=0.37563065910339355, y=0.669805776155912
Content Landmark 132: x=0.1433735885620117, y=0.5283944350022536
Content Landmark 136: x=0.24227332973480226, y=0.755874149615948
Content Landmark 146: x=0.3529477968215942, y=0.6831333013681266
Content Landmark 148: x=0.41160281562805173, y=0.8976263926579402
Content Landmark 149: x=0.3222362031936645, y=0.8408540138831505
Content Landmark 150: x=0.2860823860168457, y=0.8054572178767277
Content Landmark 152: x=0.48052417182922363, y=0.9063267634465144
Content Landmark 172: x=0.2072349681854248, y=0.6993106255164513
Content Landmark 176: x=0.3617143716812134, y=0.8736206494844877
Content Landmark 178: x=0.4091780128479004, y=0.6832970399122972
Content Landmark 181: x=0.3918668212890625, y=0.7379260723407451
Content Landmark 185: x=0.35064942264556886, y=0.6455002858088567
Content Landmark 191: x=0.37395644569396974, y=0.6560006801898662
Content Landmark 267: x=0.5025150241851807, y=0.5950459260206956
Content Landmark 269: x=0.5469684543609619, y=0.6112969765296349
Content Landmark 270: x=0.5764767875671387, y=0.6257240148691031
Content Landmark 288: x=0.8545728530883789, y=0.6126172285813551
Content Landmark 291: x=0.6129837551116943, y=0.6483036481417143
Content Landmark 308: x=0.5991775455474854, y=0.650488149202787
Content Landmark 310: x=0.5565198650360107, y=0.644996085533729
Content Landmark 311: x=0.5306856861114502, y=0.6419226866502028
Content Landmark 312: x=0.5001697864532471, y=0.6411323840801533
Content Landmark 314: x=0.5140043201446534, y=0.755834095294659
Content Landmark 317: x=0.501992057800293, y=0.6870121882512019
Content Landmark 318: x=0.5574522438049316, y=0.6710195101224459
Content Landmark 321: x=0.5811000576019287, y=0.7019306623018705
Content Landmark 324: x=0.5762903633117675, y=0.6625092873206505
Content Landmark 361: x=0.8831580772399902, y=0.5157071186945988
Content Landmark 365: x=0.7666895236968995, y=0.7516215691199669
Content Landmark 375: x=0.5998114910125733, y=0.6735530559833233
Content Landmark 377: x=0.5540116348266602, y=0.8971699494581956
Content Landmark 378: x=0.6630103435516358, y=0.8388594407301683
Content Landmark 379: x=0.7107308330535889, y=0.8029370968158428
Content Landmark 397: x=0.8132270946502685, y=0.692372204707219
Content Landmark 400: x=0.6122200336456299, y=0.8722002616295448
Content Landmark 402: x=0.5320447292327881, y=0.6796659616323618
Content Landmark 405: x=0.5520353832244873, y=0.7333592194777269
Content Landmark 409: x=0.5986211051940918, y=0.6372237865741436
Content Landmark 415: x=0.5782818069458008, y=0.6481306662926307
