Pose Landmark 4: x=0.4446444549560547, y=0.460766234764686
Pose Landmark 5: x=0.4455902233123779, y=0.41006560692420374
Pose Landmark 6: x=0.45135366821289064, y=0.2847325545090895
Pose Landmark 7: x=0.21013729000091552, y=0.2733650500957783
Pose Landmark 33: x=0.19925155544281006, y=0.2618346874530499
Pose Landmark 45: x=0.4126734676361084, y=0.4618149097149189
Pose Landmark 46: x=0.14738891983032226, y=0.18260701986459585
Pose Landmark 48: x=0.3525121202468872, y=0.48649695469782905
Pose Landmark 52: x=0.21404138469696046, y=0.14367664043719952
Pose Landmark 53: x=0.17146545791625978, y=0.15491209763746996
Pose Landmark 55: x=0.36872626686096194, y=0.1754282731276292
Pose Landmark 63: x=0.15721365833282472, y=0.13212669079120343
Pose Landmark 65: x=0.2766141452789307, y=0.14688142629770132
Pose Landmark 66: x=0.2689984312057495, y=0.11769437056321363
Pose Landmark 70: x=0.13335933589935303, y=0.16623382568359374
Pose Landmark 93: x=0.1251678695678711, y=0.44048356276292067
Pose Landmark 105: x=0.2026536693572998, y=0.11555476555457482
Pose Landmark 107: x=0.3534591760635376, y=0.12691500737116887
Pose Landmark 115: x=0.3675585403442383, y=0.4732064027052659
Pose Landmark 127: x=0.10375289821624756, y=0.27965269822340744
Pose Landmark 133: x=0.36185972595214844, y=0.27690369532658504
Pose Landmark 144: x=0.2421359577178955, y=0.2866190690260667
Pose Landmark 145: x=0.2724140634536743, y=0.2887593342707707
Pose Landmark 153: x=0.30301686668395994, y=0.2864929639376127
Pose Landmark 154: x=0.3320349349975586, y=0.2821932866023137
Pose Landmark 155: x=0.3517576684951782, y=0.2800439981313852
Pose Landmark 157: x=0.32950893783569335, y=0.2464289591862605
Pose Landmark 158: x=0.29755095386505126, y=0.23272223839393028
Pose Landmark 159: x=0.2640467300415039, y=0.22957621354323168
Pose Landmark 160: x=0.23269089126586914, y=0.23574721996600811
Pose Landmark 161: x=0.21475978755950928, y=0.24621658325195311
Pose Landmark 162: x=0.10220253849029541, y=0.1962543194110577
Pose Landmark 163: x=0.22248763942718505, y=0.28077906095064603
Pose Landmark 168: x=0.4527981986999512, y=0.23196582794189452
Pose Landmark 173: x=0.3516012420654297, y=0.2650368323692909
Pose Landmark 195: x=0.44770243072509763, y=0.367725108220027
Pose Landmark 197: x=0.44950745010375975, y=0.328257076556866
Pose Landmark 220: x=0.38765219116210936, y=0.4658298052274264
Pose Landmark 234: x=0.11366608524322509, y=0.35898820436917817
Pose Landmark 246: x=0.2056745662689209, y=0.254380622276893
Pose Landmark 249: x=0.7148082199096679, y=0.2682931166428786
Pose Landmark 263: x=0.7263773384094239, y=0.2566302666297326
Pose Landmark 275: x=0.4786401023864746, y=0.46033003880427437
Pose Landmark 276: x=0.7694083824157715, y=0.17337735983041616
Pose Landmark 278: x=0.5631956043243408, y=0.48279170989990233
Pose Landmark 282: x=0.6789815464019775, y=0.12970230395977314
Pose Landmark 283: x=0.7308605327606201, y=0.14382937504695012
Pose Landmark 285: x=0.5239805927276612, y=0.16751930530254658
Pose Landmark 293: x=0.7473523845672607, y=0.1191849635197566
Pose Landmark 295: x=0.6120920600891113, y=0.1330983382004958
Pose Landmark 296: x=0.6145317974090576, y=0.10212622422438401
Pose Landmark 300: x=0.7898192634582519, y=0.1548132823063777
Pose Landmark 323: x=0.8964281883239746, y=0.42484389085036056
Pose Landmark 334: x=0.688272117614746, y=0.0997429921076848
Pose Landmark 336: x=0.5291716327667236, y=0.11461282876821664
Pose Landmark 344: x=0.5395629825592041, y=0.4699210680448092
Pose Landmark 356: x=0.8999079360961914, y=0.25928111443152796
Pose Landmark 362: x=0.559748815536499, y=0.2790179912860577
Pose Landmark 373: x=0.6829513015747071, y=0.2837807141817533
Pose Landmark 374: x=0.6535310306549073, y=0.2886349898118239
Pose Landmark 380: x=0.6226458873748779, y=0.2880020435039814
Pose Landmark 381: x=0.5916827239990234, y=0.28424464005690353
Pose Landmark 382: x=0.5706296577453613, y=0.2825007365300105
Pose Landmark 384: x=0.5927765502929687, y=0.24423081324650692
Pose Landmark 385: x=0.6240626087188721, y=0.22835125556358923
Pose Landmark 386: x=0.6558306922912598, y=0.22441536830021785
Pose Landmark 387: x=0.6871896209716797, y=0.230082394526555
Pose Landmark 388: x=0.7067180767059326, y=0.2407989061795748
Pose Landmark 389: x=0.883627742767334, y=0.1738881624661959
Pose Landmark 390: x=0.7020703449249267, y=0.2762742702777569
Pose Landmark 398: x=0.5698682537078857, y=0.2657452656672551
Pose Landmark 440: x=0.5104898109436035, y=0.46350687467134916
Pose Landmark 454: x=0.9013213100433349, y=0.3406538889958308
Pose Landmark 466: x=0.7177474918365478, y=0.24915067232572116
